Fauna/Flora,Grupo,Familia,Especie (Simplificado),Nome Comum,Categoria de Ameaca,Sigla Categoria de Ameaca,Bioma,Principais Ameacas,Presenca em areas Protegidas,Plano de Acao Nacional para Conservacao (PAN),Ordenamento Pesqueiro ,Nivel de Protecao na Estrategia Nacional,Especie exclusiva do Brasil,Estados de Ocorrencia,ano_lista
Fauna,Invertebrados Terrestres,Paronellidae,Troglobius brasiliensis,Colembolo,Criticamente em Perigo (CR),CR,Mata Atlantica,Outras Atividades Economicas:Turismo; Poluicao; Queimadas,Nao,Nao,Nao,1,Sim,PA,2014
Fauna,Invertebrados Terrestres,Paronellidae,Troglobius ferroicus,Colembolo,Criticamente em Perigo (CR),CR,Mata Atlantica,Mineracao,Sim,Nao,Nao,2,Sim,MG,2014
Fauna,Invertebrados Terrestres,Buthidae,Troglorhopalurus translucidus,Escorpiao,Em Perigo (EN),EN,Caatinga; Cerrado,Mineracao,Sim,Nao,Nao,3,Sim,BA,2014
Fauna,Invertebrados Terrestres,Paronellidae,Trogolaphysa aelleni,Colembolo,Vulneravel (VU),VU,Mata Atlantica,Outras Atividades Economicas:Turismo; Poluicao; Queimadas,Sim,Nao,Nao,2,Sim,SP,2014
Fauna,Invertebrados Terrestres,Paronellidae,Trogolaphysa hauseri,Colembolo,Vulneravel (VU),VU,Mata Atlantica,Outras Atividades Economicas:Turismo; Poluicao; Queimadas,Sim,Nao,Nao,2,Sim,SP,2014
Fauna,Aves,Trogonidae,Trogon collaris eytoni,Surucua-de-coleira,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria,Sim,Sim,Nao,3,Sim,AL; BA; ES,2014
Flora,Angiospermas,Tropaeolaceae,Tropaeolum warmingianum,-,Em Perigo (EN),EN,Cerrado; Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Fauna,Repteis,Tropidophiidae,Tropidophis grapiuna,Desconhecido,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria; Outras Atividades Economicas:Transporte,Sim,Sim,Nao,2,Sim,BA,2014
Fauna,Repteis,Tropiduridae,Tropidurus erythrocephalus,Calango,Vulneravel (VU),VU,Caatinga,Agropecuaria; Assentamento Humano:cidades; Mudanca Na Dinamica Das Especies Nativas; Outras Atividades Economicas:Energia; Queimadas,Sim,Nao,Nao,1,Sim,BA,2014
Fauna,Repteis,Tropiduridae,Tropidurus hygomi,Calango,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria; Assentamento Humano:cidades; Outras Atividades Economicas:Turismo; Poluicao; Queimadas,Sim,Sim,Nao,2,Sim,BA; SE,2014
Fauna,Repteis,Tropiduridae,Tropidurus imbituba,Desconhecido,Criticamente em Perigo (CR),CR,Mata Atlantica,Outras Atividades Economicas:Transporte; Outras Atividades Economicas:Turismo,Sim,Nao,Nao,1,Sim,SC,2014
Fauna,Repteis,Tropiduridae,Tropidurus psammonastes,Calango,Em Perigo (EN),EN,Caatinga,Mineracao,Sim,Nao,Nao,3,Sim,BA,2014
Fauna,Invertebrados Terrestres,Hesperiidae,Turmada camposa,Borboleta,Em Perigo (EN),EN,Mata Atlantica,Assentamento Humano:cidades,Sim,Sim,Nao,2,Sim,ES; RJ,2014
Fauna,Invertebrados Terrestres,Theraphosidae,Typhochlaena curumim,Aranha-caranguejeira,Criticamente em Perigo (CR),CR,Caatinga,Agropecuaria; Extracao Direta:Caca/Pesca; Outras Atividades Economicas:Transporte,Sim,Nao,Nao,1,Sim,PB,2014
Fauna,Invertebrados Terrestres,Theraphosidae,Typhochlaena seladonia,Aranha-caranguejeira,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria; Assentamento Humano:cidades; Extracao Direta:Caca/Pesca,Sim,Nao,Nao,2,Sim,BA; SE,2014
Flora,Angiospermas,Cactaceae,Uebelmannia buiningii,-,Criticamente em Perigo (CR),CR,Cerrado,Queimadas,,,,,,,2014
Flora,Angiospermas,Cactaceae,Uebelmannia gummifera,Coroa-de-frade,,,,,,,,,,,2014
Flora,Angiospermas,Cactaceae,Uebelmannia pectinifera,Quiabo-da-lapa,Em Perigo (EN),EN,Cerrado,Extracao direta/Coleta,,,,,,,2014
Flora,Angiospermas,Annonaceae,Unonopsis riedeliana,Imbiu branco; Imbiu preto,Em Perigo (EN),EN,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Sim,Nao,2,Sim,RJ,2014
Flora,Angiospermas,Lauraceae,Urbanodendron bahiense,-,Vulneravel (VU),VU,Mata Atlantica,Perda de Habitat/Degradacao (Induzida por Humanos),,,,,,,2014
Fauna,Aves,Accipitridae,Urubitinga coronata,aguia-cinzenta,Em Perigo (EN),EN,Amazonia; Caatinga; Cerrado; Mata Atlantica; Pantanal,Agropecuaria; Extracao Direta:Caca/Pesca; Queimadas,Sim,Sim,Nao,5,Nao,BA; DF; ES; GO; MA; MG; MS; MT; PA; PE; PI; PR; RJ; RO; RS; SC; SP; TO,2014
Flora,Angiospermas,Sapindaceae,Urvillea glabra,-,Vulneravel (VU),VU,Mata Atlantica,Queimadas,,,,,,,2014
Flora,Angiospermas,Lentibulariaceae,Utricularia tridentata,-,Vulneravel (VU),VU,Mata Atlantica; Pampa,Perda de Habitat/Degradacao (Induzida por Humanos),Sim,Sim,Nao,2,Nao,ES; PR; RJ; RS; SP,2014
Flora,Angiospermas,Caprifoliaceae,Valeriana glaziovii,-,Em Perigo (EN),EN,Mata Atlantica,Desenvolvimento e Infraestrutura,Sim,Nao,Nao,2,Sim,MG; RJ,2014
Flora,Angiospermas,Caprifoliaceae,Valeriana glechomifolia,-,Em Perigo (EN),EN,Mata Atlantica,Agropecuaria,Sim,Nao,Nao,2,Sim,SC; RS,2014
Flora,Angiospermas,Caprifoliaceae,Valeriana organensis,-,Criticamente em Perigo (CR),CR,Mata Atlantica,Desenvolvimento e Infraestrutura,Sim,Nao,Nao,2,Sim,MG; RJ,2014
Flora,Angiospermas,Caprifoliaceae,Valeriana reitziana,-,Vulneravel (VU),VU,Mata Atlantica,Desenvolvimento e Infraestrutura,Sim,Nao,Nao,2,Sim,MG; PR; RS; SC; SP,2014
Flora,Angiospermas,Caprifoliaceae,Valeriana tajuvensis,-,Vulneravel (VU),VU,Mata Atlantica,Agropecuaria,Sim,Sim,Nao,2,Sim,RS; SC,2014
Flora,Angiospermas,Gesneriaceae,Vanhouttea lanata,-,Em Perigo (EN),EN,Mata Atlantica,Vazio,Sim,Sim,Nao,2,Sim,RJ,2014
Flora,Angiospermas,Gesneriaceae,Vanhouttea leonii,-,Em Perigo (EN),EN,Mata Atlantica,Vazio,Sim,Nao,Nao,2,Sim,MG,2014
Flora,Angiospermas,Gesneriaceae,Vanhouttea pendula,-,Em Perigo (EN),EN,Mata Atlantica,Vazio,Sim,Nao,Nao,2,Sim,MG,2014
Flora,Angiospermas,Orchidaceae,Vanilla dietschiana,-,Vulneravel (VU),VU,Mata Atlantica,Desenvolvimento e Infraestrutura,Sim,Nao,Nao,2,Sim,ES; SC; SP,2014
Flora,Angiospermas,Orchidaceae,Vanilla dubia,-,Em Perigo (EN),EN,Cerrado; Mata Atlantica,Agropecuaria,Sim,Nao,Nao,2,Sim,ES; MG,2014
Flora,Angiospermas,Velloziaceae,Vellozia alata,-,Em Perigo (EN),EN,Cerrado,Turismo/Recreacao,Sim,Sim,Nao,3,Sim,MG,2014
Flora,Angiospermas,Velloziaceae,Vellozia armata,-,Em Perigo (EN),EN,Cerrado,Mineracao,,,,,,,2014
Flora,Angiospermas,Velloziaceae,Vellozia barbata,-,Em Perigo (EN),EN,Cerrado,Turismo/Recreacao,,,,,,,2014
Flora,Angiospermas,Velloziaceae,Vellozia canelinha,canelinha,Criticamente em Perigo (CR),CR,Caatinga; Cerrado,Agropecuaria,Sim,Nao,Nao,2,Sim,BA,2014
Flora,Angiospermas,Velloziaceae,Vellozia gigantea,canela d'ema gigante,Em Perigo (EN),EN,Cerrado,Turismo/Recreacao,Sim,Sim,Nao,2,Sim,MG,2014
Flora,Angiospermas,Velloziaceae,Vellozia glabra,-,Em Perigo (EN),EN,Cerrado,Turismo/Recreacao,,,,,,,2014
Flora,Angiospermas,Velloziaceae,Vellozia hatschbachii,-,Em Perigo (EN),EN,Cerrado,Mineracao,,,,,,,2014
